2015-09-18,全銘柄日足,http://k-db.com/
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
I101,日経平均株価,東証,指数,18275.48,18295.90,18069.50,18070.21,-,-
I102,TOPIX,東証,指数,1480.60,1480.70,1459.02,1462.38,-,-
I103,JPX日経インデックス400,東証,指数,13294.70,13295.11,13095.17,13120.22,-,-
I104,東証2部株価指数,東証,指数,4583.10,4584.19,4553.25,4563.14,-,-
I105,東証マザーズ指数,東証,指数,772.98,778.28,769.95,777.36,-,-
I111,TOPIX コア 30,東証,指数,737.16,737.26,726.53,729.10,-,-
I112,TOPIX ラージ 70,東証,指数,1410.53,1411.36,1386.82,1386.82,-,-
I113,TOPIX 100,東証,指数,961.25,961.66,947.20,948.48,-,-
I114,TOPIX ミッド 400,東証,指数,1669.14,1669.94,1647.33,1650.74,-,-
I115,TOPIX 500,東証,指数,1155.52,1155.59,1138.08,1140.62,-,-
I116,TOPIX スモール,東証,指数,1706.96,1707.86,1691.56,1696.67,-,-
I117,TOPIX 1000,東証,指数,1400.04,1400.15,1379.39,1382.54,-,-
I118,TOPIX バリュー指数,東証,指数,1746.12,1747.11,1718.63,1722.71,-,-
I119,TOPIX グロース指数,東証,指数,1817.22,1817.82,1796.68,1798.29,-,-
I120,TOPIX 500 バリュー指数,東証,指数,1709.83,1710.86,1682.06,1685.98,-,-
I121,TOPIX 500 グロース指数,東証,指数,1812.59,1813.11,1791.29,1792.55,-,-
I122,TOPIX Small バリュー指数,東証,指数,2163.34,2164.03,2139.67,2146.43,-,-
I123,TOPIX Small グロース指数,東証,指数,1868.19,1873.32,1854.71,1860.08,-,-
I124,TOPIX レバレッジ(2倍)指数,東証,指数,35743.56,35779.89,34770.06,34886.30,-,-
I125,TOPIX インバース(-1倍)指数,東証,指数,4263.97,4320.65,4261.86,4313.89,-,-
I126,TOPIX ダブルインバース(-2倍)指数,東証,指数,1575.06,1616.61,1573.51,1611.65,-,-
I130,TOPIX Ex-Financials,東証,指数,1243.19,1243.82,1228.06,1229.66,-,-
I131,TOPIXアジア関連株指数,東証,指数,1803.91,1803.91,1775.85,1780.12,-,-
I132,東証マザーズCore指数,東証,指数,3428.85,3471.74,3400.52,3463.66,-,-
I133,東証REIT指数,東証,指数,1626.26,1636.49,1617.43,1621.26,-,-
I134,東証REITオフィス指数,東証,指数,1597.38,1611.75,1590.35,1590.35,-,-
I135,東証REIT住宅指数,東証,指数,2272.00,2295.62,2257.84,2278.88,-,-
I136,東証REIT商業物流等指数,東証,指数,2068.56,2073.91,2051.02,2060.16,-,-
I137,東証規模別株価指数 大型,東証,指数,1385.74,1386.33,1365.49,1367.33,-,-
I138,東証規模別株価指数 中型,東証,指数,1756.36,1757.21,1733.41,1737.00,-,-
I139,東証規模別株価指数 小型,東証,指数,2519.99,2521.32,2497.26,2504.80,-,-
I141,日経500種平均,東証,指数,1632.32,1632.47,1614.33,1614.33,-,-
I142,日経株価指数300,東証,指数,299.73,299.90,295.68,295.91,-,-
I143,TOPIX コンポジット 1500,東証,指数,1870.67,1871.52,1845.23,1848.20,-,-
I144,TOPIX コンポジット,東証,指数,1871.17,1872.01,1845.83,1848.85,-,-
